index,Provider Type,Cluster,NPI,Total Charges,Total Spend,RUCA,HCPCS Cd 1,HCPCS Desc 1,HCPCS Cd 2,HCPCS Desc 2,HCPCS Cd 3,HCPCS Desc 3,HCPCS Cd 4,HCPCS Desc 4,HCPCS Cd 5,HCPCS Desc 5,BETOS Cd 1,BETOS Spend 1,BETOS Spend 1 Pc,BETOS Cd 2,BETOS Spend 2,BETOS Spend 2 Pc,BETOS Cd 3,BETOS Spend 3,BETOS Spend 3 Pc,BETOS Cd 4,BETOS Spend 4,BETOS Spend 4 Pc,BETOS Cd 5,BETOS Spend 5,BETOS Spend 5 Pc
10,08,9,1093884256,507269.39,38175.25,1.0,A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A4256,"Normal, low and high calibrator solution / chips",A4259,"Lancets, per box of 100",A4414,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, 4 x 4 inches or smaller, each",A4425,"Ostomy pouch, drainable; for use on barrier with non-locking flange, with filter (2 piece system), each",D1A,17304,45.33,D1B,11345,29.72,D1C,4919,12.89,D1D,1338,3.5,D1E,1212,3.17
11,08,10,1841291085,329106.56,76952.77,4.0,A4604,Tubing with integrated heating element for use with positive airway pressure device,A7030,"Full face mask used with positive airway pressure device, each",A7031,"Face mask interface, replacement for full face mask, each",A7032,"Cushion for use on nasal mask interface, replacement only, each",A7033,"Pillow for use on nasal cannula type interface, replacement only, pair",D1C,75250,97.79,D1E,1702,2.21,D1C,4919,12.89,D1D,1338,3.5,D1E,1212,3.17
12,08,11,1326040510,103800.66,26168.78,1.0,A4314,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",E0143,"Walker, folding, wheeled, adjustable or fixed height",E0163,"Commode chair, mobile or stationary, with fixed arms",E0185,"Gel or gel-like pressure pad for mattress, standard mattress length and width",E0250,"Hospital bed, fixed height, with any type side rails, with mattress",D1B,10827,41.37,D1C,6271,23.96,D1D,5224,19.96,D1E,3646,13.93,D1F,201,0.77
13,08,12,1467448043,764671.39,125761.15,1.0,A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A4256,"Normal, low and high calibrator solution / chips",A4258,"Spring-powered device for lancet, each",A4259,"Lancets, per box of 100",A4409,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, 4 x 4 inches or smaller, each",D1A,42622,33.89,D1C,40200,31.97,D1D,26169,20.81,D1E,11105,8.83,D1F,4011,3.19
14,08,13,1265428296,30760.96,11925.35,1.0,E0140,"Walker, with trunk support, adjustable or fixed height, any type",E0295,"Hospital bed, semi-electric (head and foot adjustment), without side rails, without mattress",E0372,"Powered air overlay for mattress, standard mattress length and width",E1390,"Oxygen concentrator, single delivery port, capable of delivering 85 percent or greater oxygen concentration at the prescribed flow rate",E2228,"Manual wheelchair accessory, wheel braking system and lock, complete, each",D1B,6833,57.3,D1C,2865,24.02,D1D,1304,10.93,D1E,923,7.74,D1F,4011,3.19
15,08,14,1285620443,116367.26,63413.13,1.0,A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A4259,"Lancets, per box of 100",A4623,"Tracheostomy, inner cannula",A4629,Tracheostomy care kit for established tracheostomy,A7520,"Tracheostomy/laryngectomy tube, non-cuffed, polyvinylchloride (pvc), silicone or equal, each",D1C,29599,46.68,D1D,23143,36.5,D1E,9605,15.15,D1F,539,0.85,D1G,450,0.71
16,08,15,1285985911,2331686.51,1385703.47,1.0,L0650,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid anterior and posterior frame/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panel(s), produces intracavitary pressure t",L1820,"Knee orthosis, elastic with condylar pads and joints, with or without patellar control, prefabricated, includes fitting and adjustment",L1833,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated, off-the shelf",L1851,"Knee orthosis (ko), single upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated, off-the-shelf",L1971,"Ankle foot orthosis, plastic or other material with ankle joint, prefabricated, includes fitting and adjustment",D1F,1385703,100.0,D1D,23143,36.5,D1E,9605,15.15,D1F,539,0.85,D1G,450,0.71
17,08,16,1801866918,207869.43,44208.71,1.0,A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A4256,"Normal, low and high calibrator solution / chips",A4259,"Lancets, per box of 100",A4604,Tubing with integrated heating element for use with positive airway pressure device,A7030,"Full face mask used with positive airway pressure device, each",D1C,42733,96.66,D1E,1476,3.34,D1E,9605,15.15,D1F,539,0.85,D1G,450,0.71
18,08,17,1407854482,482957.64,130783.73,1.0,A4604,Tubing with integrated heating element for use with positive airway pressure device,A7030,"Full face mask used with positive airway pressure device, each",A7031,"Face mask interface, replacement for full face mask, each",A7032,"Cushion for use on nasal mask interface, replacement only, each",A7033,"Pillow for use on nasal cannula type interface, replacement only, pair",D1C,127327,97.36,D1E,3457,2.64,D1E,9605,15.15,D1F,539,0.85,D1G,450,0.71
19,08,18,1942252606,63759.36,34627.26,1.0,A4450,"Tape, non-waterproof, per 18 square inches",A4452,"Tape, waterproof, per 18 square inches",A6196,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size 16 sq. in. or less, each dressing",A6209,"Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",A6210,"Foam dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",D1A,30941,89.35,D1B,1680,4.85,D1E,1602,4.63,D1F,404,1.17,D1G,450,0.71
20,08,19,1891959086,99756.06,56616.17,1.0,A4452,"Tape, waterproof, per 18 square inches",A6021,"Collagen dressing, sterile, size 16 sq. in. or less, each",A6196,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size 16 sq. in. or less, each dressing",A6212,"Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",A6219,"Gauze, non-impregnated, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",D1A,52872,93.39,D1F,3745,6.61,D1E,1602,4.63,D1F,404,1.17,D1G,450,0.71
21,08,20,1679677819,17562.88,10473.46,1.0,K0195,"Elevating leg rests, pair (for use with capped rental wheelchair base)",L1820,"Knee orthosis, elastic with condylar pads and joints, with or without patellar control, prefabricated, includes fitting and adjustment",L1902,"Ankle orthosis, ankle gauntlet or similar, with or without joints, prefabricated, off-the-shelf",L3332,"Lift, elevation, inside shoe, tapered, up to one-half inch",L3908,"Wrist hand orthosis, wrist extension control cock-up, non molded, prefabricated, off-the-shelf",D1D,10424,99.53,D1F,49,0.47,D1E,1602,4.63,D1F,404,1.17,D1G,450,0.71
22,08,21,1982676565,114562.42,28861.53,1.0,A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A4256,"Normal, low and high calibrator solution / chips",A4259,"Lancets, per box of 100",A4333,"Urinary catheter anchoring device, adhesive skin attachment, each",E0143,"Walker, folding, wheeled, adjustable or fixed height",D1B,14847,51.44,D1C,5409,18.74,D1D,5178,17.94,D1E,3241,11.23,D1F,187,0.65
23,11,0,1356352553,75106.39,11148.96,1.0,A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A4256,"Normal, low and high calibrator solution / chips",A4258,"Spring-powered device for lancet, each",A4259,"Lancets, per box of 100",B4152,"Enteral formula, nutritionally complete, calorically dense (equal to or greater than 1.5 kcal/ml) with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 cal",D1C,4912,44.06,D1D,2606,23.37,D1E,2193,19.67,D1G,819,7.35,O1C,440,3.95
24,11,-1,1346405628,39615.18,16318.28,1.0,A4310,Insertion tray without drainage bag and without catheter (accessories only),A4314,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",A4338,"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",A4344,"Indwelling catheter, foley type, two-way, all silicone, each",A4349,"Male external catheter, with or without adhesive, disposable, each",D1A,8297,50.84,D1C,5037,30.87,D1F,2174,13.32,O1C,810,4.96,O1C,440,3.95
25,11,1,1740221191,1241636.32,314731.93,4.0,A4224,"Supplies for maintenance of insulin infusion catheter, per week",A4225,"Supplies for external insulin infusion pump, syringe type cartridge, sterile, each",A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A4259,"Lancets, per box of 100",A4406,"Ostomy skin barrier, pectin-based, paste, per ounce",D1C,295725,93.96,D1E,17709,5.63,D1F,762,0.24,D1G,388,0.12,O1E,148,0.05
26,11,2,1073530986,1165629.96,276849.37,1.0,A4604,Tubing with integrated heating element for use with positive airway pressure device,A7030,"Full face mask used with positive airway pressure device, each",A7031,"Face mask interface, replacement for full face mask, each",A7032,"Cushion for use on nasal mask interface, replacement only, each",A7033,"Pillow for use on nasal cannula type interface, replacement only, pair",D1E,276849,100.0,D1E,17709,5.63,D1F,762,0.24,D1G,388,0.12,O1E,148,0.05
27,11,3,1932188521,1064191.49,205914.72,1.0,A4604,Tubing with integrated heating element for use with positive airway pressure device,A7003,"Administration set, with small volume nonfiltered pneumatic nebulizer, disposable",A7005,"Administration set, with small volume nonfiltered pneumatic nebulizer, non-disposable",A7030,"Full face mask used with positive airway pressure device, each",A7031,"Face mask interface, replacement for full face mask, each",D1B,122126,59.31,D1C,76582,37.19,D1E,4409,2.14,D1G,1837,0.89,O1E,962,0.47
28,11,5,1255335279,450900.1,98420.61,1.0,J7503,"Tacrolimus, extended release, (envarsus xr), oral, 0.25 mg",J7507,"Tacrolimus, immediate release, oral, 1 mg",J7512,"Prednisone, immediate release or delayed release, oral, 1 mg",J7515,"Cyclosporine, oral, 25 mg",J7517,"Mycophenolate mofetil, oral, 250 mg",O1E,98421,100.0,D1C,76582,37.19,D1E,4409,2.14,D1G,1837,0.89,O1E,962,0.47
29,11,4,1255374641,1030234.06,291602.12,1.0,A4604,Tubing with integrated heating element for use with positive airway pressure device,A7003,"Administration set, with small volume nonfiltered pneumatic nebulizer, disposable",A7004,"Small volume nonfiltered pneumatic nebulizer, disposable",A7005,"Administration set, with small volume nonfiltered pneumatic nebulizer, non-disposable",A7030,"Full face mask used with positive airway pressure device, each",D1C,117371,40.25,D1E,101553,34.83,D1G,65313,22.4,O1E,7365,2.53,O1E,962,0.47
30,29,0,1679702922,487793.26,94287.58,1.0,A4604,Tubing with integrated heating element for use with positive airway pressure device,A7030,"Full face mask used with positive airway pressure device, each",A7031,"Face mask interface, replacement for full face mask, each",A7032,"Cushion for use on nasal mask interface, replacement only, each",A7033,"Pillow for use on nasal cannula type interface, replacement only, pair",D1C,82554,87.56,D1E,10849,11.51,D1G,673,0.71,O1E,212,0.22,O1E,962,0.47
31,29,-1,1275540015,2460575.72,650165.11,4.0,A4233,"Replacement battery, alkaline (other than j cell), for use with medically necessary home blood glucose monitor owned by patient, each",A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A4256,"Normal, low and high calibrator solution / chips",A4258,"Spring-powered device for lancet, each",A4259,"Lancets, per box of 100",D1A,305221,46.95,D1B,219223,33.72,D1C,89333,13.74,D1D,11961,1.84,D1E,7231,1.11
32,29,1,1912959925,2020239.95,584900.69,1.0,A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A4256,"Normal, low and high calibrator solution / chips",A4258,"Spring-powered device for lancet, each",A4259,"Lancets, per box of 100",A4452,"Tape, waterproof, per 18 square inches",D1A,200272,34.24,D1B,185318,31.68,D1C,70498,12.05,D1D,61494,10.51,D1E,28781,4.92
33,39,0,1720099765,7897.8,1721.17,1.0,E0431,"Portable gaseous oxygen system, rental; includes portable container, regulator, flowmeter, humidifier, cannula or mask, and tubing",E1390,"Oxygen concentrator, single delivery port, capable of delivering 85 percent or greater oxygen concentration at the prescribed flow rate",K0738,"Portable gaseous oxygen system, rental; home compressor used to fill portable oxygen cylinders; includes portable containers, regulator, flowmeter, humidifier, cannula or mask, and tubing",A4259,"Lancets, per box of 100",A4452,"Tape, waterproof, per 18 square inches",D1C,1721,99.99,D1B,185318,31.68,D1C,70498,12.05,D1D,61494,10.51,D1E,28781,4.92
34,39,1,1235115361,298471.33,65797.13,1.0,A4604,Tubing with integrated heating element for use with positive airway pressure device,A7030,"Full face mask used with positive airway pressure device, each",A7031,"Face mask interface, replacement for full face mask, each",A7032,"Cushion for use on nasal mask interface, replacement only, each",A7033,"Pillow for use on nasal cannula type interface, replacement only, pair",D1E,65797,100.0,D1B,185318,31.68,D1C,70498,12.05,D1D,61494,10.51,D1E,28781,4.92
35,39,-1,1326096348,195838.93,79196.76,2.0,A4450,"Tape, non-waterproof, per 18 square inches",A4452,"Tape, waterproof, per 18 square inches",A5500,"For diabetics only, fitting (including follow-up), custom preparation and supply of off-the-shelf depth-inlay shoe manufactured to accommodate multi-density insert(s), per shoe",A6021,"Collagen dressing, sterile, size 16 sq. in. or less, each",A6196,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size 16 sq. in. or less, each dressing",D1A,56122,70.86,D1B,18382,23.21,D1E,3680,4.65,D1F,1012,1.28,D1E,28781,4.92
36,03,0,1376876565,608.76,32.9,1.0,E0570,"Nebulizer, with compressor",A4452,"Tape, waterproof, per 18 square inches",A5500,"For diabetics only, fitting (including follow-up), custom preparation and supply of off-the-shelf depth-inlay shoe manufactured to accommodate multi-density insert(s), per shoe",A6021,"Collagen dressing, sterile, size 16 sq. in. or less, each",A6196,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size 16 sq. in. or less, each dressing",D1E,33,100.3,D1B,18382,23.21,D1E,3680,4.65,D1F,1012,1.28,D1E,28781,4.92
37,03,-1,1063530541,2110108.07,347599.06,4.0,A4604,Tubing with integrated heating element for use with positive airway pressure device,A7030,"Full face mask used with positive airway pressure device, each",A7031,"Face mask interface, replacement for full face mask, each",A7032,"Cushion for use on nasal mask interface, replacement only, each",A7033,"Pillow for use on nasal cannula type interface, replacement only, pair",D1C,345645,99.44,D1E,1954,0.56,D1E,3680,4.65,D1F,1012,1.28,D1E,28781,4.92
